Date,Price,Open,High,Low,Volume,Chg%
24-Mar-22,112.34,114.47,116.64,110.61,307.24K,-2.25%
23-Mar-22,114.93,108.85,115.4,108.38,289.18K,2.84%
22-Mar-22,111.76,112.9,115.01,109.3,22.94K,-0.32%
21-Mar-22,112.12,105.13,112.69,104.08,77.22K,7.09%
18-Mar-22,104.7,103.62,106.28,102.3,74.25K,1.67%
17-Mar-22,102.98,95.34,104.24,94.85,210.76K,8.35%
16-Mar-22,95.04,95.23,99.22,94.07,293.95K,-1.45%
15-Mar-22,96.44,102.28,102.58,93.53,401.69K,-6.38%
14-Mar-22,103.01,109.42,109.72,99.76,344.18K,-5.78%
11-Mar-22,109.33,105.99,110.29,104.48,368.19K,3.12%
10-Mar-22,106.02,110.41,114.88,105.53,437.92K,-2.47%
9-Mar-22,108.7,124.66,126.84,103.63,594.77K,-12.13%
8-Mar-22,123.7,120.67,129.44,117.07,583.11K,3.60%
7-Mar-22,119.4,121.33,130.5,115.54,576.02K,3.22%
4-Mar-22,115.68,107.96,116.02,107.25,493.88K,7.44%
3-Mar-22,107.67,111.33,116.57,106.43,592.03K,-2.65%
2-Mar-22,110.6,107.12,112.51,105.18,651.85K,6.95%
1-Mar-22,103.41,96.09,106.78,95.32,698.81K,8.03%
28-Feb-22,95.72,94.99,99.1,94.43,490.80K,4.51%
25-Feb-22,91.59,93.32,95.64,90.06,523.79K,-1.31%
24-Feb-22,92.81,92.52,100.54,91.45,872.24K,0.77%
23-Feb-22,92.1,91.74,93.9,90.64,440.57K,-0.27%
22-Feb-22,92.35,91.75,96,90.35,40.75K,-0.32%
21-Feb-22,92.65,91.62,93.91,89.08,0,1.12%
20-Feb-22,91.62,91.22,91.74,91.08,0,0.60%
18-Feb-22,91.07,91.63,92.66,89.03,150.38K,-0.75%
17-Feb-22,91.76,90.9,93.36,90.62,212.55K,-2.03%
16-Feb-22,93.66,92.21,95.01,90,401.45K,1.73%
15-Feb-22,92.07,94.83,95.17,90.66,442.64K,-3.55%
14-Feb-22,95.46,93.91,95.82,92.09,467.07K,2.53%
11-Feb-22,93.1,90,94.66,89.19,554.42K,3.58%
10-Feb-22,89.88,90.01,91.74,89.03,492.09K,0.25%
9-Feb-22,89.66,89.86,90.58,88.41,445.62K,0.34%
8-Feb-22,89.36,91.64,91.68,88.51,467.39K,-2.15%
7-Feb-22,91.32,91.82,92.73,90.73,497.75K,-1.07%
4-Feb-22,92.31,90.19,93.17,90.07,410.93K,2.26%
3-Feb-22,90.27,87.98,90.45,86.75,465.77K,2.28%
2-Feb-22,88.26,88.35,89.72,87.1,456.86K,0.07%
1-Feb-22,88.2,88.15,88.87,86.55,376.84K,0.06%
31-Jan-22,88.15,87.45,88.39,86.34,359.08K,1.53%
28-Jan-22,86.82,87.5,88.84,86.44,436.17K,0.24%
27-Jan-22,86.61,87.15,88.54,86.2,427.80K,-0.85%
26-Jan-22,87.35,85.26,87.95,85.01,459.64K,2.04%
25-Jan-22,85.6,84.15,85.71,82.99,507.22K,2.75%
24-Jan-22,83.31,84.91,86.09,81.9,511.70K,-2.15%
21-Jan-22,85.14,84.57,85.56,82.78,509.10K,-2.03%
20-Jan-22,86.9,86.23,87.82,86,30.39K,-0.07%
